"Author_ID","Name","Birth_Date","Nationality"
"1","Jane Austen","1775-12-16","British"
"2","Ernest Hemingway","1899-07-21","American"
"3","George Orwell","1903-06-25","British"
"4","Scott Fitzgerald","1896-09-24","American"
"5","J.K. Rowling","1965-07-31","British"
"6","Mark Twain","1835-11-30","American"
"7","Leo Tolstoy","1828-09-09","Russian"
"8","Virginia Woolf","1882-01-25","British"
"9","Gabriel Márquez","1927-03-06","Colombian"
"10","Charles Dickens","1812-02-07","British"
"11","Harper Lee","1926-04-28","American"
"12","Oscar Wilde","1854-10-16","Irish"
"13","William Shakespeare","1564-04-26","British"
"14","Franz Kafka","1883-07-03","Czech"
"15","James Joyce","1882-02-02","Irish"
"16","J.R.R. Tolkien","1892-01-03","British"
"17","Emily Brontë","1818-07-30","British"
"18","Toni Morrison","1931-02-18","American"
"19","Fyodor Dostoevsky","1821-11-11","Russian"
"20","Lucas Piki","1847-10-16","British"